"Key","SourceString","Comment"
"skills_strength_text","The swinging of the hammer has strengthened your grip. With more strength in your hands, you can do more work during the day.","Text inside the strong hands skill window in management mode skill tree, describing what the skill is about."
"skills_vendordiscount_title","Skilful Negotiator","Title of the negotiation skill window in management mode skill tree, referring to the players negotiating skills and how these affect the discounts the player gets at vendors, buying sword parts."
"skills_vendordiscount_text","You learn to better assess the people in Eren Keep and can use this to your advantage in negotiations.","Text inside the negotiation skill window in management mode skill tree, describing what the skill is about."
"skills_vendordiscount_increase1_text","You get a negotiation discount of {Mul}% at vendors.","Text inside the negotiation skill window in management mode skill tree, showing the player the exact advantage that will be unlocked by learning this skill."
"skills_vendordiscount_increase2_text","Your negotation discount is increased to {Mul}%.","Text inside the negotiation skill window in management mode skill tree, showing the player the exact advantage that will be unlocked by learning this skill."
"skills_commissiontime_title","Patient Client","Title of the patient client skill window in management mode skill tree, describing the earned trust and patience from customers, so the player gets the chance to have more time for each commission."
"skills_commissiontime_text","Good things take time. Your clients know this too and are willing to give you a little more time to complete your work.","Text inside the patient client skill window in management mode skill tree, describing what the skill is about."
"skills_commissiontime_increase","You have a {Chance} chance to get an extra day for each commission.","Text inside the patient client skill window in management mode skill tree, showing the player the exact advantage that will be unlocked by learning this skill."
"skills_learning_title","Learning","Title of the learning skill window in management mode skill tree."
"skills_learning_text","To expand your repertoire, you can now learn blueprints by disassembling three parts of the same kind.","Text inside the learning skill window in management mode skill tree, describing the skill, the player learns by unlocking the skill."
"skills_learning_unlock","Learn to craft any part yourself from three identical samples.","Text inside the learning skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_sanding_title","Ability: Polishing","Title of the sanding skill window in management mode skill tree, referring to sanding a steel on a grindstone to polish it."
"skills_sanding_text","Not all that glitters is gold, but can you deny a blade polished to a mirror sheen?","Text inside the sanding skill window in management mode skill tree, flavoring the polished blade."
"skills_sanding_unlock","Unlocks the ability: Polishing","Text inside the sanding skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_fuller_title","Ability: Fuller","Title of the fuller skill window in management mode skill tree."
"skills_fuller_text","Fullers make your blade lighter by removing material while keeping the blade stiff.","Text inside the fuller skill window in management mode skill tree, explaining the fuller ability."
"skills_fuller_unlock_rounded","Unlocks the ability: Fuller with rounded ends","Text inside the fuller skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_fuller_unlock_smooth","Unlocks the ability: Fuller with smooth ends","Text inside the fuller skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_sidefuller_unlock_rounded","Unlocks the ability: Side Fullers with rounded ends","Text inside the fuller skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_sidefuller_unlock_smooth","Unlocks the ability: Side Fullers with smooth ends","Text inside the fuller skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_asymmetrical_title","Asymmetrical Blades","Skill title: Unlocking the ability to create asymmetrical (e.g. single-edged) blades."
"skills_asymmetrical_text","Work on your blade from different sides to create single-edged blades and other interesting profiles.","Text inside the asymmetrical blades skill window in management mode skill tree, explaining the asymmetrical blades ability."
"skills_asymmetrical_unlock","Allows you to forge asymmetrical blades.","Text inside the asymmetrical blades skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_curved_title","Ability: Curved Blades","Title of the curved blades skill window in management mode skill tree."
"skills_curved_text","Curve your blade and allow it to concentrate the force you put into a cut into a smaller area than with a straight sword.","Text inside the curved blades skill window in management mode skill tree, explaining the curved blades ability."
"skills_curved_unlock","Unlocks the ability: Curvature","Text inside the curved blades skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_bending_title","Sword Part Bending","Title of the bending skill window in management mode skill tree."
"skills_bending_text","Bend sword parts to your will and create even more customised shapes.","Text inside the bending skill window in management mode skill tree, explaining the bending ability."
"skills_bending_unlock","Allows you to bend sword parts.","Text inside the bending skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_message_skillpointsavailable","{0} Skill {0}|plural(one=Point,other=Points) available","Shows available skill points."
"skills_message_requireslevel","Requires level {0}.","Displayed on a skill that can only be unlocked from a certain level (inserted for {0})."
"skills_message_requirescrew","You need help to unlock this skill.","Displayed on a skill that can only be unlocked once a crew character (not specified) is hired."
"skills_message_crewskills","Helps unlock more skills.","Displayed in the description of a character, explaining to the player that this character adds skill to the skill tree that are only available after hiring this character."
"skills_message_treasurehunter","Hunts for treasure and brings it to your doorstep.","Description of the dog Chlodo's unique effect. The dog brings random valueables to you some mornings."
"skills_button_unlockwithcost","Unlock: {0} {0}|plural(one=Skill Point,other=Skill Points)","Shows skill point costs when unlocking skills."
"currency_cost","Cost:","When a cost in currency is displayed, it is prefixed with this."
"currency_have","Have:","When the currently owned currency amount is displayed, it is prefixed with this."
"forging_crosssectiondetails_physical_title","SWORD PHYSICAL PROPERTIES","Title inside the cross-section details panel."
"forging_crosssectiondetails_bladelength","Blade Length","Description inside the cross-section details panel."
"forging_crosssectiondetails_mass","Mass","Description inside the cross-section details panel."
"forging_crosssectiondetails_balance","Point of Balance","Description inside the cross-section details panel."
"forging_crosssectiondetails_properties_title","CROSS-SECTION PROPERTIES","Title inside the cross-section details panel."
"forging_crosssectiondetails_width","Width","Description inside the cross-section details panel."
"forging_crosssectiondetails_thickness","Thickness","Description inside the cross-section details panel."
"forging_crosssectiondetails_area","Area","Description inside the cross-section details panel."
"forging_crosssectiondetails_edgeangle_left","Edge Angle (left)","Description inside the cross-section details panel."
"forging_crosssectiondetails_edgeangle_right","Edge Angle (right)","Description inside the cross-section details panel."
"forging_namesword_text","Click to name your sword","Hint inside a text field in forge mode, players can enter text to name the sword."
"charactername_format","{0} {1}","The game generates random character names from first name (inserted for {0}) and last name (inserted for {1}). For some languages this might have to be reversed."
"swordname_none","A Nameless Sword","The default name given to a new sword when it is not made for a specific customer."
"sword_finalized","{0}
has been made.","Message displayed when a player finalizes a sword. The sword name (given by the player) is inserted for {0}."
"commissiontitle_short_light","A light shortsword","The title of a commission in case a customer asks for a short/lightweight sword."
"commissiontitle_short_average","An average shortsword","The title of a commission in case a customer asks for a short/average weightsword."
"commissiontitle_short_heavy","A heavy shortsword","The title of a commission in case a customer asks for a short/heavy sword."
"commissiontitle_medium_light","A light sword","The title of a commission in case a customer asks for an average length/lightweight sword."
"commissiontitle_medium_average","An average sword","The title of a commission in case a customer asks for an average length/average weight sword."
"commissiontitle_medium_heavy","A heavy sword","The title of a commission in case a customer asks for an average length/heavy sword."
"commissiontitle_long_light","A light longsword","The title of a commission in case a customer asks for a long/lightweight sword."
"commissiontitle_long_average","An average longsword","The title of a commission in case a customer asks for a long/average weightsword."
"commissiontitle_long_heavy","A heavy longsword","The title of a commission in case a customer asks for a long/heavy sword."
"forging_button_leave","Leave","Button caption, leaving the anvil/forge mode to go back to shop overview."
"forging_button_finalize","Finalise","Button in forgemode to finalize the current sword."
"forging_actionpointsspent","Spent: {0}","Denoting the number of Action Points that have so far been spent on a given sword. The number and AP icon will be inserted for {0}."
"forging_title_appliedabilities","Ability History","Title of the applied section in forgemode, showing the swordmaking abilities the player has used so far on the given piece."
"forging_cameracontrols_title","Camera Flight:","Title of the camera controls section in forgemode."
"forging_cameracontrols_setstart_text","Set Start","Text describing a player action: setting the starting point of a camera flight."
"forging_cameracontrols_setstart_key","Ctrl+1","Keybinding for a player action"
"forging_cameracontrols_setend_text","Set End","Text describing a player action: setting the endpoint of a camera flight."
"forging_cameracontrols_setend_key","Ctrl+2","Keybinding for a player action"
"forging_cameracontrols_flight_text","Start Camera Flight","Text describing a player action: starting the camera flight."
"forging_cameracontrols_flight_key","Space","Keybinding for a player action"
"forging_cameracontrols_setspeed_text","Set Speed","Text describing a player action: setting the speed of the camera flight."
"forging_cameracontrols_setspeed_key","1...9","Keybinding for a player action"
"forging_button_blademode","Blade Mode","Button caption for the mode in which the blade is edited"
"forging_button_hiltmode","Hilt Mode","Button caption for the mode in which the hilt (guard, grip, pommel etc.) is edited"
"forging_button_viewmode","View Mode","Button caption for the mode in which the sword can be viewed without distractions."
"forging_button_environment","Toggle Environment","Tooltip of the toggle environment button, where players can choose between different environments/backgrounds to work in."
"forging_button_screenshotmode","Screenshot Mode","Tooltip of the button used to enter a seperate mode in which screenshots of swords can be taken."
"forging_button_takescreenshot","Take Screenshot","Tooltip of the take screenshot button."
"forging_button_screenshotfolder","Open Screenshot Folder","Tooltip of the screenshot folder button, where players can access the local screenshot folder."
"forging_button_crosssectiondetails","Cross-Section Display","Tooltip of the cross-section display button, where players can open the cross-section details panel."
"forging_button_upload","Share...","Tooltip of the share button, where players can upload their sword and share it."
"forging_sharing_magicwords","Magic Words","When sharing a sword, it is uploaded to a server and some ""magic words"" (i.e. a vaguely latin string, for example vinamion-temilium-noroucio) is copied to the clipboard."
"forging_sharing_magicwords_description","Get a Magic Words code and share it with other players to let them conjure identical copies of your sword.","When sharing a sword, it is uploaded to a server and some ""magic words"" (i.e. a vaguely latin string, for example vinamion-temilium-noroucio) is copied to the clipboard."
"forging_sharing_magicwords_button","Get Magic Words share code","When sharing a sword, it is uploaded to a server and some ""magic words"" (i.e. a vaguely latin string, for example vinamion-temilium-noroucio) is copied to the clipboard."
"forging_sharing_3dprinting_description","Export your sword 3D printing. The resulting STL file can be loaded in processed in your favourite slicer software.",""
"forging_sharing_3dprinting_button","Export to STL",""
"forging_sharing_successful","The Magic Words
{0}
now reside in your clipboard.","When sharing a sword, it is uploaded to a server and some ""magic words"" (i.e. a vaguely latin string, for example vinamion-temilium-noroucio) is copied to the clipboard."
"forging_sharing_error","Upload failed.","This message is displayed when sharing a sword failed because the sword could not be uploaded to the server."
"forging_sharing_3dprint","3D Printing",""
"forging_gameplayhint_material_apply","Left mouse to apply material","Hint displayed to players when they are in the process of applying a material (e.g. leather, steel etc.) to a sword part."
"forging_gameplayhint_material_discard","Left mouse to discard material","Hint displayed to players when they are in the process of applying a material (e.g. leather, steel etc.) but are not hovering any sword part. Clicking will exit the material assignment mode and 'discard' the material."
"forging_gameplayhint_swordpart_craft_general","Hold left mouse on outlined parts to craft","Hint displayed to players when they have parts to craft (which are displayed with a blue outline), but are not currently hovering a specific part."
"forging_gameplayhint_swordpart_craft_specific","Hold left mouse to craft","Hint displayed to players when they are hovering a specific craftable part. Holding down the mouse button will craft the part."
"forging_gameplayhint_gizmo_range_move","Adjust Range","Hint displayed when hovering a draggable ""range"" handle. This range denotes where a bladeshaping ability has influence."
"forging_gameplayhint_gizmo_blend_move","Adjust Blend Range","Hint displayed when hovering a draggable ""blend"" handle. This blend range denotes where a bladeshaping ability smoothly fades in or out."
"forging_gameplayhint_gizmo_blend_activate","Show Blend Handle","Hint displayed to players when they are hovering an on-screen element that can be right-clicked to activate smooth blending of swordmaking abilities (e.g. to softly broaden a blade)."
"forging_gameplayhint_gizmo_blend_change","Change Blend Curve","Hint displayed to players when they are hovering an on-screen element that can be right-clicked to change the shape of the curve used for smooth blending of swordmaking abilities (e.g. to softly broaden a blade)."
"forging_ability_button_commit","Apply","Button text to apply active swordmaking ability in forgemode."
"forging_ability_button_delete","Delete","Button text to delete active swordmaking ability in forgemode."
"forging_ability_button_remove","Remove","Button text to remove the active swordmaking ability in forgemode."
"forging_ability_button_revert","Cancel","Button text to revert active swordmaking ability in forgemode."
"forging_crafting_button_craftall","Craft All","Button text to craft all applied craftable swordparts in forgemode."
"forging_hint_cannotoffer_nocommission","No commission.","Hint text displayed when the player tries to sell a sword, but has not commission (i.e. no customer) to sell it to."
"forging_hint_cannotoffer_physicalnotmet","Physical requirements not met.","Hint text displayed when the player tries to sell a sword, but the customer's physical requirements are not met."
"forging_hint_cannotoffer_stylenotmet","Style requirements not met.","Hint text displayed when the player tries to sell a sword, but the customer's style requirements are not met."
"forging_hint_cannotoffer_uncraftedparts","All sword parts need to be crafted first.","Hint text displayed when the player tries to sell a sword, but still has pending sword parts that need to be crafted first."
"forging_hint_cannotoffer_unfinishedhilt","Your hilt is not finished.","Hint text displayed when the player tries to sell a sword, but the sword's hilt is not finished (i.e. has no pommel or is otherwise not complete)."
"forging_button_offer_caption","Offer","Caption of the button to offer a sword to a customer."
"forging_button_offer_tocustomer","Offer to {0}","Caption of the button to offer a sword to a customer. The customer's full name will be inserted for {0}."
"forging_button_offer_nocommission","Select a commission","Caption of the ""offer"" button when no commission is selected (i.e. the button can't be used and displays this reason)."
"offertocustomer_offeredamount_caption","Offer:","Text before the amount the customer will offer, e.g. ""Offer: 120🪙"""
"offertocustomer_confirmation_hint","Would you like to accept this offer now?","Text in the ""sell to customer"" window, asking the player for a yes/no confirmation before selling the sword at a given price."
