"Key","SourceString","Comment"
"tutorial_swordpart_secondgrip","Attach a second grip part to the first.",""
"tutorial_swordpart_cycle","When holding a sword part, you can cycle through them using the <key>Q</>/<key>E</> or Ctrl + scroll wheel.",""
"tutorial_swordpart_trycyclepommel","Select a pommel and try this now.",""
"tutorial_swordpart_physics","Every part of your sword influences its <emph>physics</>.",""
"tutorial_watchweightandbalance","Watch the weight and balance meters shift as you attach a pommel.",""
"tutorial_swordpart_detach","You can detach sword parts again up by clicking on them.",""
"tutorial_swordpart_resourcerefund","You will get your resources back, so feel free to experiment.",""
"tutorial_finaladjustments","When you are happy with your two-handed hilt, let’s make some final adjustments to the blade.",""
"tutorial_finaladjustments_detailed","When your hilt is complete with a guard, two grip pieces and a pommel, let’s make some final adjustments to the blade.",""
"tutorial_abilityhistory","The ability history shows all abilities that have been used on the blade.",""
"tutorial_abilityhistory_revisit","You can use this to revisit abilities and edit or delete them.",""
"tutorial_abilityhistory_intensity","The number next to an applied ability shows its intensity.",""
"tutorial_abilityhistory_nocost","Editing abilities has no cost. Feel free to experiment.",""
"tutorial_abilityhistory_revisitchangewidth","Select the <ability>Change Width</> ability you added earlier.",""
"tutorial_abilityhistory_hammertonarrow","Press <key>X</> to flip the direction of your hammering, then hammer to narrow the blade.",""
"tutorial_perfect","Perfect!",""
"tutorial_finishfirstcommmission","This commission is fulfilled, so it’s time to sell the sword. Click the button above.",""
"tutorial_finishfirstcommmission_congratulations","Congratulations on finishing your first sword!",""
"tutorial_secondcommissionawaits","Another customer awaits.",""
"tutorial_repairjob","Customers with <emph>repair jobs</> will provide you with a sword that they want edited.",""
"tutorial_repairjob_nocost","These commissions don’t have an initial billet cost, so they’re perfect for making some coin when you’re low on resources.",""
"tutorial_repairjob_alteration","This customer wants his sword altered. The rounded point needs to be turned into a narrow point.",""
"tutorial_revisitpoint","Revisit the <ability>Point</> ability to reforge it.",""
"tutorial_abilities_range","You can change the <emph>range</> of many abilities.",""
"tutorial_abilities_rangemarker","The range influenced by your ability is marked with a line.",""
"tutorial_abilities_rangemarker_drag","Drag the circular handle at the end of this line.",""
"tutorial_hammertoapply","Hammer to apply your change.",""
"tutorial_nicework","Nice work!",""
"tutorial_requirementsfulfilled_commissioncomplete","When you’ve fulfilled all requirements, the commission is complete and you can sell the sword.",""
"tutorial_scrapitem_recieved","You just received a <emph>scrap item</>!",""
"tutorial_gotoyour_inventory","Go to your <emph>inventory</> to inspect what you received.",""
"tutorial_salvaging_features","<emph>Salvaging</> turns scrap items into useful resources.",""
"tutorial_salvaging_apcost","This costs a small amount of Action Points <AP/>, so it’s a perfect use for leftover points at the end of a day.",""
"tutorial_item_hoverfordescription","Hover over items to see descriptions.",""
"tutorial_item_interacttosalvage","Interact with the item to salvage it.",""
"tutorial_endday_apspent","When your Action Points <AP/> are spent, it’s time to <emph>end the day</>.",""
"tutorial_endday_apleft_willbelost","If you end the day with any Action Points <AP/> left, they will be lost, so try to use them up whenever you can.",""
"tutorial_tutorialfinished","Nicely done – you finished the tutorial!",""
"tutorial_pickcommissions_youlike","From today on, you’ll have more <AP/> to spend. You won’t be able to complete every commission, so pick the ones you like the sound of.",""
"tutorial_gamewillopenup","The game will open up from here. Don’t be afraid to explore!",""
"tutorial_startingresources","Here are a few resources to get you started.",""
"tutorial_firstvendor_unlocked","You just unlocked your first <emph>vendor</>!",""
"tutorial_visitvendors_atanypoint","At any point during the day, visit vendors to buy resources and other items.",""
"tutorial_asymmetry_feautrebasic","Use the asymmetry feature to create single-edged blades or add decoration to one side of the sword.",""
"tutorial_asymmetry_mostabilities","For most abilities, you can set which sides of the blade are influenced – left, right or both.",""
"tutorial_asymmetry_button","Click the asymmetry button to cycle through.",""
"tutorial_advancedabilities","Some abilities, like <ability>Cross-Section</>, feature advanced controls that allow you to further customise their shape.",""
"tutorial_advancedabilities_availability","Once your ability reaches 100%, advanced controls become available.",""
"tutorial_changeshape","Select and hammer to change various shape parameters.",""
"tutorial_requirements_style","This customer has a <emph>style requirement</>.",""
"tutorial_requirements_books","Customers may ask for sword parts from a certain book. Relevant parts are marked.",""
"tutorial_requirements_materialsandcolour","Customers may also ask for certain materials or colours.",""
"tutorial_requirements_partsandmaterials","Apply parts and materials to meet the customer’s requirements.",""
"tutorial_scale_ability","You are now able to <emph>scale</> sword parts.",""
"tutorial_scale_shortcuts","Pick up any sword part, then hold <key>W</> and <key>S</> to scale the part.",""
"tutorial_scale_resourceinfluence","Scaling influences resource usage as well as the part’s weight – a handy tool for balancing your sword’s physics.",""
"tutorial_stretchandbend_ability","You now have the ability to <emph>stretch and bend</> sword parts.",""
"tutorial_stretchandbend_draghandle","Drag the handle at the end of a part to stretch and bend it, or hold shift to keep it straight.",""
"tutorial_stretchandbend_resourceinfluence","Stretching and bending influences resource usage as well as the part’s weight.",""
"tutorial_outofresources","You have used up all your resources! To complete this sword, salvage more resources or buy them at a vendor.",""
"tutorial_renamesword","Did you know you can <emph>rename</> your sword? Click the name in the top bar and start typing.",""
"tutorial_skillpointearned","You have earned a <emph>skill point</>! Open the skill tree to spend it on improvements.",""
"tutorial_factionreputation","You have gained <emph>reputation with a faction</>! Select the highlighted button to see how to reach the next rank.",""
"tutorial_handandahalf","This commission requires a <emph>hand-and-a-half</> grip.",""
"tutorial_handandahalf_stretch","Place a grip part, then grab the handle at the end to make it longer or shorter.",""
"tutorial_handandahalf_oneortwo","Use one long or two short grip parts to achieve a hand-and-a-half grip.",""
